data_venda,produto,marca,modelo,preco,quantidade
2023-01-01,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,7
2023-01-01,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,6
2023-01-01,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,2
2023-01-01,Controle Remoto LG,LG,AKB75095307,R$ 79.99,9
2023-01-01,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,1
2023-01-01,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,2
2023-01-02,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,4
2023-01-02,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,10
2023-01-02,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,7
2023-01-03,Controle Remoto LG,LG,AKB75095307,R$ 79.99,4
2023-01-03,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,9
2023-01-03,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,7
2023-01-03,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,5
2023-01-04,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,2
2023-01-04,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,1
2023-01-04,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,5
2023-01-04,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,2
2023-01-04,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,8
2023-01-04,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,2
2023-01-05,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,6
2023-01-05,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,2
2023-01-06,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,7
2023-01-06,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,8
2023-01-06,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,2
2023-01-06,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,6
2023-01-06,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,10
2023-01-07,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,2
2023-01-07,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,9
2023-01-07,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,5
2023-01-07,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,2
2023-01-08,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,6
2023-01-08,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,5
2023-01-08,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,5
2023-01-08,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,4
